author,rating,title,text,date,helpful,verified
giuliaa006,5,lucidalabbra,lucidalabbra iconico super lucido e ottimo da portare ovunque,2025-06-08T09:47:36.000+00:00,0,[]
Vaalentina,2,Troppo sopravvalutato,"Non mi è piaciuto per niente, ogni volta che lo metto mi lascia un sapore cattivo in bocca (no non lo mangio!) non riesco a capire il perché e inoltre non ha un effetto plump, rimane piuttosto appiccicoso. Costa tantissimo ma non vale il prezzo per me.",2025-06-06T15:30:43.000+00:00,0,[]
Sofiella,5,Lip,Buonissimo profumo fantastico,2025-06-06T15:07:40.000+00:00,0,[]
Mary_._s,5,Lucida labbra,Ottimo prodotto molto profumato colore perfetto finish morbido,2025-05-29T15:20:07.000+00:00,0,[]
Jeca,5,Top,Top lucidalabbra provato fino adesso,2025-05-28T13:40:46.000+00:00,0,[]
Chiara dama,5,Solo il meglio,"Colore top se vuoi dare un colorito vivo alle tue labbra, non eccedendo, fresco ma non fastidioso e non appiccicoso!
Consigliato",2025-05-27T18:25:16.000+00:00,0,[]
,5,lucidalabbra,ortimo lucidalabbra dura abbastanza pack fantastico,2025-05-27T07:19:16.000+00:00,0,[]
Lt,4,Buon prodotto!,Conosco bene questo prodotto ma stavolta credo di aver sbagliato colore… troppo scuro per i miei gusti!,2025-05-24T07:28:01.000+00:00,0,[]
Sofiella,5,Lip,Il migliore in assoluto ragaaaa profumo top,2025-05-22T07:24:33.000+00:00,0,[]
raffyy,5,dior addict,"Il Dior Addict Lip Maximizer è ideale per chi cerca un lucidalabbra che unisca trattamento e bellezza, offrendo idratazione, comfort e un effetto volumizzante naturale. La sua formula ricca e la varietà di tonalità lo rendono un must-have per gli amanti del make-up di qualità.",2025-05-17T20:36:33.000+00:00,0,[]
Giuli ;),5,Che dire… il meglio,Ho sia questo sia un altro colore… non smetterò mai di comprarli!,2025-05-15T13:39:24.000+00:00,0,[]
RositaZ,5,Fantastico,"Confortevole, lascia le labbra perfettamente idratate, una texture leggera e delicata",2025-05-12T16:27:17.000+00:00,0,[]
Manuela89098,4,Buono,"Nel complesso un buon prodotto, non dò il massimo punteggio perchè è veramente caro e con simili risultati ce ne sono di più economici sul mercato",2025-05-11T16:19:03.000+00:00,0,[]
MaryAr1997,5,Ottimo,"Ricevuto in formato prova, è delicato e idratante e il colore è molto luminoso",2025-05-11T16:17:05.000+00:00,0,[]
Alemati,5,Soddisfatta,"Niente da dire se non Meraviglioso. Cremoso e facilissimo da stendere, colore perfetto",2025-05-09T20:23:17.000+00:00,0,[]
Mouraa,5,Pulp,Dura molto ed è bellissimo,2025-05-08T14:55:10.000+00:00,0,[]
Azzurrap,5,Ottimo,"Colore delicato, resistente e lascia sensazione di fresco alle labbra",2025-05-06T23:32:09.000+00:00,0,[]
giuggii,5,Lucida Labbra Dior,Buonissimo e bellissimo ottima colorazione.,2025-05-03T20:09:00.000+00:00,0,[]
Cristinne,5,Il più bello!,Il gloss più bello in assoluto! Lo amo!,2025-05-02T11:06:06.000+00:00,0,[]
Mouraa,5,Bellissimo!,Rimpolpa le labbra ed è resistente,2025-05-01T15:51:28.000+00:00,0,[]
esterxoxo,4,Dior Addict Lip Gloss,"Rimpolpa, idrata e volumizza. Ottimo per labbra secche e spente, resistente fino a 12h, adatto a chi piace avere quel tocco di classe in più, must have da avere sempre in pochette.",2025-04-22T22:42:51.000+00:00,0,[]
Mari0572,5,Lip maximizer,ottimo prodotto… Dior una garanzia! Regalo molto apprezzato,2025-04-17T16:10:39.000+00:00,0,[]
Ale G,5,Fantastico,"Al contrario della colorazione Opal che è stata una delusione Holo pink mi ha ridato la speranza, i glitter ci sono e si vedono! Come sempre da un effetto plum naturale alle labbra e le idrata",2025-04-16T08:49:37.000+00:00,0,[]
Mmm90,5,Ottimo,"Adoro questi volumizzanti, colorazioni molto belle. Leggermente costosi senza offerte. Volumizzano senza pizzicare troppo. Consigliati",2025-04-14T13:40:46.000+00:00,0,[]
deny_pala,5,stupendo,"molto bello, profuma e lascia le labbra molto morbide",2025-04-10T09:57:36.000+00:00,0,[]
Rori!,5,Fresco,"Rimpolpa e idrata, lasciando un leggero effetto fresco sulle labbra. Consigliato!",2025-04-10T08:49:04.000+00:00,0,[]
Giulianapa,5,I love it!,"Il lucidalabbra Dior Addict è un vero must-have. Ha una texture morbida e non appiccicosa, che lascia le labbra idratate e lucide per ore. Il colore è intenso e brillante, dando un effetto pieno e voluminoso senza essere troppo pesante. Inoltre, il profumo è delicato e piacevole. Perfetto per chi cerca un lucidalabbra di alta qualità che aggiunga un tocco di eleganza e luminosità alle labbra.",2025-04-08T17:29:23.000+00:00,0,[]
Princesa1,5,Bellissimo,"Rende le labbra bellissime! Lucide, rimpolpare e valorizzate. L' effetto finale è bellissimo, elegante e naturale.",2025-04-07T10:48:14.000+00:00,0,[]
CMilone,1,Dior lip maximizer,"Il prodotto lo so che è ottimo, peccato che non mi sia arrivato con l’ultimo ordine 😔
Non so come rintracciarvi via mail, ditemi per favore come fare 🙏 
Grazie mille 
Caterina Milone",2025-04-06T16:02:38.000+00:00,0,[]
Annina27,5,Dior,L’unico…il migliore!!,2025-04-03T08:39:59.000+00:00,0,[]
Manuelat,5,Regalo,L’ho comprato per mia mamma che lo ama tanto!!,2025-04-01T15:46:46.000+00:00,0,[]
Lauraaaaiaa,5,Bel regalo,Lo abbiamo regalato ad un amica per la sua laurea. Devo dire che ha apprezzato molto,2025-03-29T19:30:03.000+00:00,0,[]
Cla23,5,Bellissimo,"Bel colore, buona tenuta.",2025-03-22T21:33:32.000+00:00,0,[]
Dani.98,5,Bello,Regalo per un compleanno. Molto apprezzato,2025-03-19T22:02:43.000+00:00,0,[]
Cla23,4,Bel colore,"Bel gloss, bellissimo effetto sulle labbra con una pigmentazione leggera. Non dura molto ma se messo con combo matita labbra è top!",2025-03-17T10:49:38.000+00:00,0,[]
Sweet tulip,5,Lip gloss perfetto,"Lo uso sempre per completare la mia combo labbra, colore nude che si abbina a tutto",2025-03-15T06:15:35.000+00:00,0,[]
Iday,5,Espectacular,"Lo consiglio, Dior è il migliore",2025-03-13T22:29:20.000+00:00,0,[]
Jeca,5,Lipgloss,Stupendo! E non si appiccica ai lati della bocca,2025-03-09T20:23:35.000+00:00,0,[]
Cipsilvy,5,Texture top,"Texture fantastica! Ottima durata.
Lascia le labbra idratate, con una sensazione di freschezza! Consigliato!",2025-03-02T21:55:36.000+00:00,0,[]
Effy87,5,top,lo amoooooooo !! bellissimo,2025-03-01T16:52:51.000+00:00,0,[]
Effy87,5,amo,Amo questi lucidalabbra li vorrei tutti !! voto 10,2025-02-28T09:02:53.000+00:00,0,[]
Vane01,5,Da anni uno dei miei amici preferiti,"L’avevo scoperto anni fa con un cofanetto, da allora continuo a prenderlo in tutte le tonalità perché è confortevole sulle labbra e il pack come sempre bellissimo",2025-02-26T12:15:48.000+00:00,0,[]
Saretta00,4,Bello,Molto molto bello anche se non sapevo pizzicasse! Però lo amo,2025-02-25T21:12:26.000+00:00,0,[]
Saretta00,5,STUPENDO,"devo dire che vale veramente, molto glossy anche l colorazioni sono stupende e ha anche un leggero effetto plump. Lo amo",2025-02-25T21:09:09.000+00:00,0,[]
Yulcer,5,Bellísimo,Consiglio a tutti mi piace molto,2025-02-24T19:39:42.000+00:00,0,[]
Chantilly,3,Per me è no,Bel colore ma per me è troppo appiccicoso. La durata è breve e non ha effetto volume.,2025-02-24T16:51:32.000+00:00,0,[]
Annina27,5,Dior,Lo uso da sempre. Colori stupendi…irrinunciabile 😍,2025-02-24T00:21:07.000+00:00,0,[]
Gioiaa,5,Bellissimo,"Bellissimo prodotto, consiglio",2025-02-20T16:06:44.000+00:00,0,[]
Marti03,5,Ottimo prodotto,"Lo consiglio 
Io  lo riacquisterei, scovolino per applicazione un po’ piccolo",2025-02-20T11:24:31.000+00:00,0,[]
Ilabe,3,Bello,Bello ma forse il prezzo un po’ alto,2025-02-20T08:34:35.000+00:00,0,[]
Ale G,5,Molto bello,Molto bello il colore e soprattutto ha un bel effetto rimpolpante sulle labbra senza pizzicare troppo però ha un forte profumo di liquirizia per i miei gusti,2025-02-12T19:51:00.000+00:00,0,[]
Ale G,4,Una delusione,Ho preso la colorazione Opal però i brillantini si notano pochissimo anche con due passate non si nota quasi nulla…mi aspettavo di più da questo gloss soprattutto con quello che costa,2025-02-12T19:48:52.000+00:00,0,[]
Alice79,3,Bello,Bello ma per il prezzo che ha  c'è di meglio,2025-02-11T10:28:53.000+00:00,0,[]
,5,Adoro,Mi piace tantissimo questo prodotto consiglip,2025-02-09T18:02:18.000+00:00,0,[]
.  .,5,Favoloso,Colore fantastico e prodotto di ottima qualità,2025-02-08T13:53:46.000+00:00,0,[]
Mariangela03,5,Super!,Adoro questo lucidalabbra di Dior,2025-02-06T11:50:09.000+00:00,0,[]
Mariangela03,5,Sempre in borsetta,Adoro questo lucidalabbra!,2025-02-05T08:12:25.000+00:00,0,[]
Sabrigioy,5,Favoloso,Colore molto di tendenza. Va bene con il mio chiaro incarnato,2025-01-25T17:12:22.000+00:00,0,[]
FedeLo04,5,Bellissimo,"Effetto bellissimo, lo consiglio vivamente !",2025-01-22T06:56:38.000+00:00,0,[]
Chi12,5,Yeee,Lo consiglio vivamente!!,2025-01-18T19:15:05.000+00:00,0,[]
matispacca,4,buono,bellissimo ma l’odore di menta è un po’ forte,2025-01-16T14:00:49.000+00:00,0,[]
Marti03,5,Ottimo prodotto,Lo ricomprerei altre mille volte,2025-01-09T11:14:22.000+00:00,0,[]
Chi6282,5,Stupendo,"Stupendo, uno dei migliori",2025-01-09T08:27:47.000+00:00,0,[]
piranella,5,Bello!,Bel lucidalabbra luminoso. Consigliato! Dior non sbaglia mai ✌🏻,2025-01-08T21:56:22.000+00:00,1,[]
Gin. C.,5,Il gloss perfetto,"Letteralmente il mio gloss preferito. Non è per nulla appiccicoso, lascia le labbra idratate ed ha una piacevolissima fragranza alla menta che mi da la sensazione di avere le labbra più rimpolpate e distese. Consigliatissimo!",2025-01-05T12:27:09.000+00:00,1,[]
lavinia01,4,stupendo,bellissimo gloss lo consiglio,2025-01-04T17:31:26.000+00:00,0,[]
,5,Bellissimo,L’effetto che lascia è wow! Consiglio a tutte,2025-01-03T02:39:21.000+00:00,0,[]
,5,Perfetto,"Arrivato in perfette condizioni, è un prodotto ottimo.",2025-01-03T02:32:25.000+00:00,0,[]
Gabrisabbemari,5,Sweet,"So delicious, so beautiful, so pigmentate . Love it.",2024-12-31T09:22:52.000+00:00,0,[]
Raffanto,5,Adoro Dior Addict,"Colore stupendo, gloss meraviglioso, è il secondo che compero e lascia le labbra lucide e molto turgide, packaging elegante.",2024-12-30T14:24:17.000+00:00,0,[]
auroraincarnato,5,adoro,"stupendo, labbra idratate e nom appiccicoso",2024-12-29T19:46:42.000+00:00,0,[]
,5,Adoro questo glos!!,"Uso il gloss di dior addict rimpolpante da tantissimo tempo, l’ho ricomprato varie volte e ne vale davvero la pena! amo in generale la linea di dior e questo gloss è un must have da avere nella propria pochette trucchi!",2024-12-26T19:15:01.000+00:00,0,[]
Caty03,4,Gloss rimpolpante,Ottimo gloss rimpolpante brillantinato,2024-12-26T16:30:43.000+00:00,0,[]
Eleonora03,5,Buono,Super luminoso e volumizzante. Non pizzica,2024-12-26T11:43:20.000+00:00,0,[]
martinnnn,5,bellissimo,"miglior gloss, colori molto belli e durata ottima, molto idratanti",2024-12-22T20:31:09.000+00:00,0,[]
Claudia_V,3,Non vale quanto proposto,"Gloss che dura si e no 20 minuti, poi si asciuga tutto e non rimane nulla, al pari di quelli da pochi euro. Delusione TOTALE. Odore gradevole, bellissima sensazione appena messo, colore top ma… che senso ha se dopo 20 minuti si asciuga tutto e non rimane niente? Non vale il prezzo spropositato proposto.",2024-12-22T07:48:29.000+00:00,0,[]
Kandy,3,Mah,"Sincera? Mi aspettavo meglio. L’applicatore l’ho trovato troppo fine, il gloss è lucido e non appiccica molto ma si sente il pizzicore del rimpolpante. 
Preso in 2 colorazioni: PINK, che in realtà è solo trasparente, troppo chiaro per vedersi il colore, e INTENSE CINAMMON che non mi piace molto come colore, troppo aranciato, ma devo dire che sono fedeli alle foto.
Carino ma nulla di eccezionale. Forse punterei più su quello con applicatore più spesso.",2024-12-14T09:56:00.000+00:00,0,[]
Kandy,3,Sincera,"Sincera? Mi aspettavo meglio. L’applicatore l’ho trovato troppo fine, il gloss è lucido e non appiccica molto ma si sente il pizzicore del rimpolpante. 
Preso in colorazione PINK, che in realtà è solo trasparente, troppo chiaro per vedersi il colore. Carino, ma nulla di eccezionale. 
Forse proverei la versione con l’applicatore più grosso.",2024-12-14T09:53:28.000+00:00,0,[]
Giuli ;),5,Iconico,Profuma ed ha un effetto super lucido; non è appiccicoso. Dior non si smentisce mai,2024-12-12T21:00:30.000+00:00,0,[]
Iristar,5,Gloss dior,"Il gloss migliore di sempre. perfetto per ogni occasione, lascia le labbra super morbide",2024-12-11T05:43:14.000+00:00,0,[]
Auroraaa2223,5,Gloss fantastico,È un bellissimo gloss che non appiccica e ha dei bei colori,2024-12-10T15:38:07.000+00:00,0,[]
Cla.Carl,5,Adatto tutti i giorni,"lip gloss da tenere sempre in borsa, da mettere sia da solo che sopra una tinta labbra",2024-12-09T10:43:48.000+00:00,0,[]
Anchi86,5,Stupenda,Stupendo lucidalabbra con effetto volumizzante,2024-12-09T06:25:14.000+00:00,0,[]
Alefelix,5,Ottimo,"Prodotto ottimo, da una sensazione come di balsamico sulle labbra.",2024-12-08T22:27:34.000+00:00,0,[]
mariaeresa,5,wow,mi piace molto la consistenza,2024-12-08T17:06:06.000+00:00,0,[]
Sabrigioy,5,Favoloso,Colore bellissimo e ricco,2024-12-06T16:12:49.000+00:00,0,[]
Emyyyy,5,Top,Prodotto idratante molto bello,2024-12-04T10:44:07.000+00:00,0,[]
Anchi86,5,Bellissimo,Colore bellissimo pizzica un po’ e aumenta il volume delle labbra,2024-11-28T11:22:53.000+00:00,0,[]
Elora,5,Lo amo,È davvero un gloss incredibile. Provare per credere,2024-11-27T23:02:52.000+00:00,0,[]
Sofi;,5,buono,ottimo anche per un regalo,2024-11-27T14:45:53.000+00:00,0,[]
Sofi;,5,carino,prodotto carino anche per un regalo,2024-11-27T14:45:29.000+00:00,0,[]
Marghe99,5,Regalo,"Preso scontato , ottimo 👌",2024-11-26T13:03:52.000+00:00,0,[]
Wowww,5,Ottimo,Prodotto buonissimo. Mi sono trovata veramente benissimo . Lo consiglio !,2024-11-24T20:54:11.000+00:00,0,[]
Beatrix06,5,Lucidalabbra Dior,Avevo sentito parlare bene di questo Lip Gloss e devo dire che dopo averlo provato avevano proprio ragione. Disponibile in tante colorazioni… le proverò tutte pian piano.,2024-11-22T08:30:51.000+00:00,0,[]
Beatrix06,5,Lucidalabbra Dior,Avevo sentito parlare bene di questo Lip Gloss e devo dire che dopo averlo provato avevano proprio ragione. Disponibile in tante colorazioni… le proverò tutte pian piano.,2024-11-22T08:25:58.000+00:00,0,[]
Beatrix06,5,Lucidalabbra Dior,Avevo sentito parlare bene di questo Lip Gloss e devo dire che dopo averlo provato avevano proprio ragione. Disponibile in tante colorazioni… le proverò tutte pian piano.,2024-11-22T08:25:25.000+00:00,0,[]
Antonia Mid,5,Ma quanto è bello!,"Questo gloss enfatizza e volumizza le labbra!
Sono di parte lo ammetto adoro Dior 
Perfetto per chi come me ha un colore naturale che tende al malva ed enfattizza la mucosa scura a tendenza fredda 
Particolarissimo a parer mio!
Al sapore di liquirizia non scherzo pizzica il giusto",2024-11-21T22:34:28.000+00:00,0,[]
Benny30,4,Recensione per lucidalabbra,"Lo uso da anni ormai, mi trovo benissimo, è molto idratante e non appiccicoso e volumizza bene le labbra.",2024-11-21T00:10:18.000+00:00,0,[]
elenix,4,BELLOOO,"Bello, ma costa tanto",2024-11-17T21:30:29.000+00:00,0,[]
clas,3,buono,bellissimo bello buono,2024-11-15T08:32:52.000+00:00,0,[]
sissi883,4,buono,consiglio questo prodotto molto buono,2024-11-14T09:41:51.000+00:00,0,[]
marijikaka,3,costa un po’,"fa il suo lavoro, lucido e non appiccica, ma costa troppo",2024-11-13T19:47:19.000+00:00,0,[]
Tintus,5,Ottimo lip rimpolpante,"Ho le labbra sottili e nonostante nessun prodotto può far miracoli questo gloss di Dior è favoloso! Risposta, lucida non appiccica assolutamente e da un aspetto sano e naturale alle labbra.
Il colore berry è bellissimo e rende le labbra più piene. Dura molto e anche quando va via non lascia residui 
Packaging Dior meraviglioso",2024-11-10T18:35:21.000+00:00,0,[]
Silvisilvi,5,Ottimo,"Bellissimo gloss, per un effetto plump ancora più visibile basta utilizzare una matita",2024-11-09T18:11:52.000+00:00,0,[]
morenanic,5,Dior n 1,"Inutile dire che già dal packaging ci si possa innamorare di questo gloss, lo consiglio a tutti per il profumo oltre che per il prodotto in se",2024-11-08T21:24:06.000+00:00,0,[]
Imane,5,Dior,Ottimooooooooooooooooooooooooo,2024-11-07T09:51:42.000+00:00,0,[]
martinnnn,5,stupendo,"i lip maximizer di dior sono una garanzia, li ho di tutti i colori , ieri ho acquistato la colorazione cherry ed è meravigliosa sulle labbra, oltre il colore sono dei gloss ottimi, confortevoli e molto idratanti , potrebbero durare un po’ di più, ma lasciano sulle labbra un bel colorito anche quando va via il gloss.",2024-11-06T21:19:53.000+00:00,0,[]
Disab,5,ottimo prodotto,"sono ossessionata dai prodotti di Dior. non rimpolpa molto e dovrebbe avere uno scovolino più ""cicciotto"" ma profumo, texture e colore sono MERAVIGLIOSI!! Non appiccica e mi rende le labbra morbidissime",2024-11-05T16:36:11.000+00:00,0,[]
